title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re Minor Q,India,Chhattisgarh,2020,JJ Board Raipur,cybercrime,15-17,15-year-old recorded and circulated fight video violating privacy.,Unauthorized video circulation.,Probation; privacy law education.,https://services.ecourts.gov.in/
In re Minor R,India,Uttarakhand,2023,JJ Board Dehradun,vandalism,15-17,16-year-old damaged school laboratory equipment.,School lab vandalism.,Restitution; suspension; probation.,https://services.ecourts.gov.in/
In re Minor S,India,Goa,2022,JJ Board Panaji,cybercrime,15-17,15-year-old purchased exam paper leak via Telegram. No distribution. First offense.,Exam paper leak purchase.,Counseling; academic integrity program.,https://services.ecourts.gov.in/
R v. A (Youth),United Kingdom,England,2020,Youth Court Manchester,theft,15-17,16-year-old shoplifted from supermarket. No previous convictions.,First-time shoplifting.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. B (Youth),United Kingdom,England,2021,Youth Court London,cybercrime,15-17,15-year-old accessed school IT system without permission altering timetables. No prior offenses.,Unauthorized school IT access.,Youth rehabilitation order; cyber awareness.,https://caselaw.nationalarchives.gov.uk/
R v. C (Youth),United Kingdom,England,2019,Youth Court Birmingham,assault,15-17,17-year-old assaulted another youth causing ABH at park.,Assault occasioning ABH.,Detention and training order 8 months.,https://caselaw.nationalarchives.gov.uk/
R v. D (Youth),United Kingdom,Wales,2022,Youth Court Cardiff,cybercrime,15-17,16-year-old sent harassing DMs to ex-partner on Instagram. First offense.,Online harassment.,Restraining order; youth caution.,https://caselaw.nationalarchives.gov.uk/
R v. E (Youth),United Kingdom,Scotland,2020,Sheriff Court Glasgow,vandalism,15-17,15-year-old graffiti on train station property.,Criminal damage graffiti.,Community payback order.,https://caselaw.nationalarchives.gov.uk/
R v. F (Youth),United Kingdom,England,2018,Youth Court Leeds,drug possession,15-17,16-year-old caught with cannabis at music festival.,Cannabis possession.,Drugs referral order.,https://caselaw.nationalarchives.gov.uk/
R v. G (Youth),United Kingdom,England,2023,Youth Court Bristol,cybercrime,15-17,15-year-old launched DDoS attack on school website during exams. No prior record.,DDoS attack on school site.,Rehabilitation order; IT restrictions.,https://caselaw.nationalarchives.gov.uk/
R v. H (Youth),United Kingdom,Northern Ireland,2021,Youth Court Belfast,theft,15-17,17-year-old stole bicycle from city center.,Bicycle theft.,Probation; restitution.,https://caselaw.nationalarchives.gov.uk/
R v. I (Youth),United Kingdom,England,2019,Youth Court Liverpool,robbery,15-17,16-year-old snatched bag from elderly pedestrian.,Street robbery.,Detention and training order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. J (Youth),United Kingdom,England,2022,Youth Court Liverpool,cybercrime,15-17,15-year-old shared intimate images of peer without consent. First offense.,Revenge porn style image sharing.,Youth rehabilitation order; counseling.,https://caselaw.nationalarchives.gov.uk/
R v. K (Youth),United Kingdom,Wales,2020,Youth Court Swansea,truancy,under 14,Repeated failure to attend school by 14-year-old.,Persistent truancy.,Parenting order; education plan.,https://caselaw.nationalarchives.gov.uk/
R v. L (Youth),United Kingdom,England,2021,Youth Court Nottingham,assault,15-17,16-year-old school fight with minor injuries.,School assault.,Referral order; anger management.,https://caselaw.nationalarchives.gov.uk/
R v. M (Youth),United Kingdom,England,2023,Youth Court Oxford,cybercrime,15-17,16-year-old created phishing site mimicking school login page. No financial theft.,Phishing site creation.,Rehabilitation order; confiscation of devices.,https://caselaw.nationalarchives.gov.uk/
R v. N (Youth),United Kingdom,Scotland,2022,Sheriff Court Edinburgh,burglary,15-17,17-year-old broke into shed stealing tools.,Shed burglary.,Community sentence; tagging.,https://caselaw.nationalarchives.gov.uk/
R v. O (Youth),United Kingdom,England,2018,Youth Court Brighton,cybercrime,15-17,15-year-old cyberbullied classmate via anonymous messaging app.,Anonymous cyberbullying.,Youth caution; restorative justice.,https://caselaw.nationalarchives.gov.uk/
R v. P (Youth),United Kingdom,England,2020,Youth Court Newcastle,firearms,15-17,16-year-old possessed imitation firearm in public.,Imitation firearm possession.,Detention 4 months; probation.,https://caselaw.nationalarchives.gov.uk/
R v. Q (Youth),United Kingdom,England,2021,Youth Court Leicester,theft,15-17,15-year-old stole phone from locker room.,Locker room theft.,Referral order.,https://caselaw.nationalarchives.gov.uk/
R v. R (Youth),United Kingdom,England,2022,Youth Court Cambridge,cybercrime,15-17,16-year-old sold homework answers obtained by hacking teacher cloud storage.,Cloud storage hack for cheating.,School disciplinary; youth rehabilitation order.,https://caselaw.nationalarchives.gov.uk/
R v. S (Youth),United Kingdom,Wales,2023,Youth Court Newport,assault,15-17,17-year-old assaulted bus driver after fare dispute.,Assault on public worker.,Community order; apology.,https://caselaw.nationalarchives.gov.uk/
R v. T (Youth),United Kingdom,England,2019,Youth Court Plymouth,cybercrime,15-17,15-year-old posted false threat about school shooting on forum. Quickly deleted. No intent to act.,False online threat.,Mental health assessment; caution.,https://caselaw.nationalarchives.gov.uk/
In re Patel,United States,California,2023,Alameda Juvenile Court,cybercrime,15-17,16-year-old used VPN to access restricted school database and view student records. No modification. First offense.,Unauthorized access to student records.,Probation; cyber ethics training; no contact with victims.,https://www.courtlistener.com/
In re Nguyen,United States,Texas,2022,Harris County Juvenile Court,cybercrime,15-17,15-year-old created ransomware note on school library computers as prank. No encryption deployed. First offense.,Ransomware prank on school computers.,Counseling; community service; technology restriction.,https://www.courtlistener.com/
In re O'Brien,United States,Massachusetts,2021,Suffolk Juvenile Court,cybercrime,15-17,17-year-old logged into ex-partner social media account and posted false statements. No prior delinquency.,Unauthorized social media access.,Restraining order; probation; digital literacy.,https://www.courtlistener.com/
In re Kumar,United States,New Jersey,2020,Essex County Family Court,cybercrime,15-17,16-year-old sold stolen gaming accounts obtained via credential stuffing. First offense.,Credential stuffing for account resale.,Restitution; probation 12 months.,https://www.courtlistener.com/
In re Minor T,India,Maharashtra,2023,JJ Board Pune,cybercrime,15-17,16-year-old accessed neighbor Wi-Fi without permission to download pirated content. First offense.,Unauthorized Wi-Fi access.,Counseling under IT Act; probation 6 months.,https://services.ecourts.gov.in/
In re Minor U,India,Delhi,2022,JJ Board Delhi,cybercrime,15-17,15-year-old created deepfake audio of teacher for school prank. Quickly removed. No prior record.,Deepfake audio prank targeting teacher.,Community service; digital ethics program; probation.,https://services.ecourts.gov.in/
In re Minor V,India,Karnataka,2021,JJ Board Bengaluru,cybercrime,15-17,17-year-old ran Instagram page selling leaked exam papers. First involvement with justice system.,Online sale of leaked exam materials.,Probation; academic integrity counseling.,https://services.ecourts.gov.in/
In re Minor W,India,Tamil Nadu,2023,JJ Board Chennai,cybercrime,15-17,15-year-old impersonated classmate on dating app causing harassment. No prior offenses.,Online impersonation and harassment.,Counseling; probation; app restrictions.,https://services.ecourts.gov.in/
In re Minor X,India,Gujarat,2020,JJ Board Ahmedabad,cybercrime,15-17,16-year-old accessed municipal website admin panel using default password. Reported vulnerability. First offense.,Unauthorized access to government portal.,IT Act awareness; probation; no detention.,https://services.ecourts.gov.in/
In re Minor Y,India,Rajasthan,2022,JJ Board Jaipur,cybercrime,15-17,15-year-old shared login credentials for paid educational platform with classmates. No financial gain.,Credential sharing for educational platform.,Counseling; probation; digital literacy.,https://services.ecourts.gov.in/
In re Minor Z,India,Kerala,2023,JJ Board Kochi,cybercrime,15-17,16-year-old sent phishing links via WhatsApp school group to obtain OTPs. First offense.,Phishing via messaging app.,Probation; cybercrime awareness under JJ Act.,https://services.ecourts.gov.in/
In re Minor AA,India,West Bengal,2021,JJ Board Kolkata,cybercrime,15-17,15-year-old posted edited photos of peer on social media without consent. Removed after complaint.,Non-consensual image editing and posting.,Counseling; probation; privacy education.,https://services.ecourts.gov.in/
In re Minor AB,India,Punjab,2022,JJ Board Chandigarh,cybercrime,15-17,17-year-old hacked school CCTV feed and streamed footage online briefly. No prior record.,Unauthorized access to school surveillance.,Probation; technology restriction; restitution.,https://services.ecourts.gov.in/
In re Minor AC,India,Telangana,2023,JJ Board Hyderabad,cybercrime,15-17,15-year-old created bot to scrape and repost classmates' social media content. First offense.,Automated scraping and reposting.,Counseling; probation; platform ban compliance.,https://services.ecourts.gov.in/
In re Minor AD,India,Uttar Pradesh,2022,JJ Board Lucknow,cybercrime,15-17,16-year-old accessed sibling's bank app using saved password and transferred small amount as prank. Returned funds.,Unauthorized financial app access.,Family counseling; restitution; probation.,https://services.ecourts.gov.in/
In re Minor AE,India,Madhya Pradesh,2021,JJ Board Bhopal,theft,15-17,15-year-old stole smartphone from classmate during sports period. Returned device. First offense.,School theft of mobile phone.,Counseling; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor AF,India,Haryana,2023,JJ Board Gurugram,assault,15-17,16-year-old involved in school gang altercation causing minor injuries. No weapon. First offense.,School group altercation.,Observation home 1 month; probation; anger management.,https://services.ecourts.gov.in/
R v. U (Youth),United Kingdom,England,2022,Youth Court Sheffield,cybercrime,15-17,16-year-old accessed school email accounts using password list from data breach. First offense.,Credential stuffing against school emails.,Youth rehabilitation order; cyber awareness course.,https://caselaw.nationalarchives.gov.uk/
R v. V (Youth),United Kingdom,Scotland,2023,Sheriff Court Aberdeen,cybercrime,15-17,15-year-old created fake Snapchat account to bully peer. No prior convictions.,Fake account cyberbullying.,Community payback order; counseling.,https://caselaw.nationalarchives.gov.uk/
R v. W (Youth),United Kingdom,Wales,2021,Youth Court Cardiff,cybercrime,15-17,17-year-old sold VPN access to bypass school content filters. First offense.,Circumventing school network filters.,Youth caution; IT restrictions.,https://caselaw.nationalarchives.gov.uk/
R v. X (Youth),United Kingdom,England,2023,Youth Court Manchester,cybercrime,15-17,15-year-old posted stolen exam answers on Discord server. Removed within hours. No prior record.,Distribution of stolen exam content.,Referral order; academic integrity program.,https://caselaw.nationalarchives.gov.uk/
R v. Y (Youth),United Kingdom,England,2020,Youth Court Leeds,cybercrime,15-17,16-year-old accessed teacher's laptop during class and changed presentation slides as prank.,Unauthorized access to educator device.,Youth rehabilitation order; school disciplinary action.,https://caselaw.nationalarchives.gov.uk/
R v. Z (Youth),United Kingdom,Northern Ireland,2022,Youth Court Belfast,cybercrime,15-17,15-year-old sent anonymous threatening messages via gaming platform. First offense.,Online threats via gaming chat.,Probation; platform restrictions; counseling.,https://caselaw.nationalarchives.gov.uk/
R v. AA (Youth),United Kingdom,England,2023,Youth Court Birmingham,cybercrime,15-17,16-year-old created clone website of school portal to harvest login credentials. No successful theft.,Phishing site mimicking school portal.,Rehabilitation order; confiscation of devices.,https://caselaw.nationalarchives.gov.uk/
R v. AB (Youth),United Kingdom,England,2021,Youth Court London,cybercrime,15-17,15-year-old shared intimate images obtained from peer's cloud backup without consent. First offense.,Non-consensual intimate image sharing.,Youth rehabilitation order; counseling; restraining order.,https://caselaw.nationalarchives.gov.uk/
R v. AC (Youth),United Kingdom,Scotland,2022,Sheriff Court Glasgow,cybercrime,15-17,17-year-old launched low-level DDoS on rival gaming clan website. No prior record.,DDoS attack on gaming website.,Community payback order; IT education.,https://caselaw.nationalarchives.gov.uk/
R v. AD (Youth),United Kingdom,Wales,2023,Youth Court Swansea,cybercrime,15-17,15-year-old used AI tool to generate fake disciplinary letter about classmate. Shared in group chat.,AI-generated defamation.,Youth caution; restorative justice meeting.,https://caselaw.nationalarchives.gov.uk/
R v. AE (Youth),United Kingdom,England,2022,Youth Court Oxford,cybercrime,15-17,16-year-old accessed school network without authorization to change own attendance records. First offense.,Unauthorized modification of attendance data.,Referral order; probation; cyber ethics.,https://caselaw.nationalarchives.gov.uk/
R v. AF (Youth),United Kingdom,England,2023,Youth Court Cambridge,theft,15-17,15-year-old shoplifted from university bookstore. No previous convictions.,First-time shoplifting.,Referral order 10 months.,https://caselaw.nationalarchives.gov.uk/
R v. AG (Youth),United Kingdom,England,2021,Youth Court Bristol,assault,15-17,16-year-old school fight causing bruising. No weapon. First offense.,School assault first offense.,Referral order; anger management.,https://caselaw.nationalarchives.gov.uk/
R v. AH (Youth),United Kingdom,Scotland,2020,Sheriff Court Edinburgh,cybercrime,15-17,15-year-old recorded private conversation and posted excerpt online without consent.,Unauthorized recording and publication.,Community sentence; privacy counseling.,https://caselaw.nationalarchives.gov.uk/
